Back to Contents,Data 1: U.S. Natural Gas Gross Withdrawals and Production,,,,,,,,,,
Sourcekey,N9010US2,N9011US2,N9012US2,NGM_EPG0_FGS_NUS_MMCF,NGM_EPG0_FGC_NUS_MMCF,N9020US2,N9040US2,N9030US2,N9050US2,N9060US2,N9070US2
Date,U.S. Natural Gas Gross Withdrawals (MMcf),U.S. Natural Gas Gross Withdrawals from Gas Wells (MMcf),U.S. Natural Gas Gross Withdrawals from Oil Wells (MMcf),U.S. Natural Gas Gross Withdrawals from Shale Gas (Million Cubic Feet),U.S. Natural Gas Gross Withdrawals from Coalbed Wells (MMcf),U.S. Natural Gas Repressuring (MMcf),U.S. Natural Gas Vented and Flared (MMcf),U.S. Nonhydrocarbon Gases Removed from Natural Gas (MMcf),U.S. Natural Gas Marketed Production (MMcf),U.S. Natural Gas Plant Liquids Production (Million Cubic Feet),U.S. Dry Natural Gas Production (MMcf)
Jan-1973,,,,,,,,,1948000,79000,
Feb-1973,,,,,,,,,1962000,79000,
Mar-1973,,,,,,,,,1907000,77000,
Apr-1973,,,,,,,,,1814000,73000,
May-1973,,,,,,,,,1898000,77000,
Jun-1973,,,,,,,,,1839000,74000,
Jul-1973,,,,,,,,,1880000,76000,
Aug-1973,,,,,,,,,1896000,77000,
Sep-1973,,,,,,,,,1840000,74000,
Oct-1973,,,,,,,,,1875000,76000,
Nov-1973,,,,,,,,,1863000,75000,
Dec-1973,,,,,,,,,1926000,78000,
Jan-1974,,,,,,,,,1930000,79000,
Feb-1974,,,,,,,,,1760000,72000,
Mar-1974,,,,,,,,,1895000,78000,
Apr-1974,,,,,,,,,1780000,73000,
May-1974,,,,,,,,,1847000,76000,
Jun-1974,,,,,,,,,1740000,71000,
Jul-1974,,,,,,,,,1818000,75000,
Aug-1974,,,,,,,,,1790000,74000,
Sep-1974,,,,,,,,,1755000,72000,
Oct-1974,,,,,,,,,1767000,73000,
Nov-1974,,,,,,,,,1729000,71000,
Dec-1974,,,,,,,,,1790000,74000,
Jan-1975,,,,,,,,,1779000,77000,
Feb-1975,,,,,,,,,1645000,71000,
Mar-1975,,,,,,,,,1738000,75000,
Apr-1975,,,,,,,,,1672000,73000,
May-1975,,,,,,,,,1689000,73000,
Jun-1975,,,,,,,,,1634000,71000,
Jul-1975,,,,,,,,,1677000,73000,
Aug-1975,,,,,,,,,1677000,73000,
Sep-1975,,,,,,,,,1603000,70000,
Oct-1975,,,,,,,,,1646000,71000,
Nov-1975,,,,,,,,,1618000,70000,
Dec-1975,,,,,,,,,1730000,75000,
Jan-1976,,,,,,,,,1751000,75000,
Feb-1976,,,,,,,,,1647000,71000,
Mar-1976,,,,,,,,,1714000,73000,
Apr-1976,,,,,,,,,1623000,69000,
